Last,First,Middle,Suffix,Nickname,Born,Death,Sex,Position,Party,State,District,Start,End,Religion,Race,Educational Attainment,JobType1,JobType2,JobType3,JobType4,JobType5,Mil1,Mil2,Mil3
Brown,Clarence,J.,Sr.,,07/14/1893,08/23/1965,M,U.S. Representative,Republican,OH,7,01/03/1945,08/23/1965,Methodist,White,Professional degree,Agriculture,Journalism,,,,Did not serve,,
Brown,Paul,,,,03/31/1880,09/24/1961,M,U.S. Representative,Democrat,GA,10,01/03/1945,01/03/1961,Methodist,White,Professional degree,Agriculture,Law,,,,Did not serve,,
Bryson,Joseph,Raleigh,,,01/18/1893,03/10/1953,M,U.S. Representative,Democrat,SC,4,01/03/1945,03/10/1953,Baptist,White,Professional degree,Law,,,,,Army,,
Buchanan,Frank,,,,12/01/1902,04/27/1951,M,U.S. Representative,Democrat,PA,33,06/19/1946,04/27/1951,Not specified,White,Bachelor's degree,Business or banking,Education,,,,Did not serve,,
Buck,Clayton,Douglass,,,03/21/1890,01/27/1965,M,U.S. Senator,Republican,DE,,01/06/1943,01/03/1949,Episcopalian,White,Professional degree,Business or banking,Construction/building trades,Engineering,,,Did not serve,,
Buck,Ellsworth,Brewer,,,07/03/1892,08/14/1970,M,U.S. Representative,Republican,NY,16,01/03/1945,01/03/1949,Not specified,White,Bachelor's degree,Business or banking,,,,,Navy Reserve,,
Buckley,Charles,Anthony,,,06/23/1890,01/22/1967,M,U.S. Representative,Democrat,NY,25,01/03/1935,01/02/1953,Roman Catholic,White,High School graduate,Construction/building trades,,,,,Did not serve,,
Buffett,Howard,Homan,,,08/13/1903,04/30/1964,M,U.S. Representative,Republican,NE,2,01/03/1945,01/03/1953,Not specified,White,Bachelor's degree,Agriculture,Business or banking,,,,Did not serve,,
Bulwinkle,Alfred,Lee,,,04/21/1883,08/31/1950,M,U.S. Representative,Democrat,NC,11,01/03/1945,08/31/1950,Lutheran,White,Professional degree,Law,,,,,National Guard-North Carolina,,
Burke,Raymond,Hugh,,,11/04/1881,08/18/1954,M,U.S. Representative,Republican,OH,3,01/03/1947,01/03/1949,Presbyterian,White,Bachelor's degree,Education,Misc.,,,,Did not serve,,
Burleson,Omar,Truman,,,03/19/1906,05/14/1991,M,U.S. Representative,Democrat,TX,17,01/03/1947,01/03/1979,Church of Christ,White,Professional degree,Congressional Aide,Law,Law Enforcement,,,Navy,,
Burton,Clarence,Godber,,,12/14/1886,01/18/1982,M,U.S. Representative,Democrat,VA,6,12/31/1948,01/03/1953,Methodist,White,Master's degree,Business or banking,,,,,Did not serve,,
Busbey,Fred,Ernst,,,02/08/1895,02/11/1966,M,U.S. Representative,Republican,IL,3,01/03/1947,01/03/1955,Not specified,White,Unknown,Business or banking,,,,,Army,,
Bushfield,Harlan,John,,,08/06/1882,09/27/1948,M,U.S. Senator,Republican,SD,,01/06/1943,09/27/1948,Not specified,White,Professional degree,Law,,,,,Did not serve,,
Butler,Hugh,Alfred,,,02/28/1878,07/01/1954,M,U.S. Senator,Republican,NE,,01/03/1945,07/01/1954,Congregationalist,White,High School graduate,Engineering,,,,,Did not serve,,
Butler,John,Cornelius,,,07/02/1887,08/13/1953,M,U.S. Representative,Republican,NY,44,01/03/1945,01/03/1953,Not specified,White,High School graduate,Misc.,,,,,Did not serve,,
Byrd,Harry,Flood,,,06/10/1887,10/20/1966,M,U.S. Senator,Democrat,VA,,03/04/1933,11/10/1965,Episcopalian,White,High School graduate,Agriculture,Journalism,,,,Did not serve,,
Byrne,William,Thomas,,,03/06/1876,01/27/1952,M,U.S. Representative,Democrat,NY,32,01/03/1945,01/27/1952,Not specified,White,Professional degree,Law,,,,,Did not serve,,
