Last,First,Middle,Suffix,Nickname,Born,Death,Sex,Position,Party,State,District,Start,End,Religion,Race,Educational Attainment,JobType1,JobType2,JobType3,JobType4,JobType5,Mil1,Mil2,Mil3
Rayburn,Sam,Taliaferro,,,01/06/1882,11/16/1961,M,U.S. Representative,Democrat,TX,4,01/03/1945,11/16/1961,Baptist,White,Unknown,Law,,,,,Did not serve,,
Rayfiel,Leo,F.,,,03/22/1888,11/18/1978,M,U.S. Representative,Democrat,NY,14,01/03/1945,09/13/1947,Not specified,White,Professional degree,Law,,,,,,,
Redden,Monroe,Minor,,,09/24/1901,12/16/1987,M,U.S. Representative,Democrat,NC,12,01/03/1947,01/03/1953,Not specified,White,Bachelor's degree,Business or banking,Law,,,,Did not serve,,
Reed,Chauncey,William,,,06/02/1890,02/09/1956,M,U.S. Representative,Republican,IL,11,01/03/1935,01/02/1949,Not specified,White,Bachelor's degree,Law,,,,,Army,,
Reed,Clyde,Martin,,,10/19/1871,11/08/1949,M,U.S. Senator,Republican,KS,,01/03/1939,11/08/1949,Not specified,White,High School graduate,Education,Journalism,Misc.,,,Did not serve,,
Reed,Daniel,Alden,,,09/15/1875,02/19/1959,M,U.S. Representative,Republican,NY,45,03/04/1919,01/02/1953,Not specified,White,Bachelor's degree,Law,Public service/politics,,,,Did not serve,,
Rees,Edward,Herbert,,,06/03/1886,10/25/1969,M,U.S. Representative,Republican,KS,4,01/03/1945,01/03/1961,Congregationalist,White,Bachelor's degree,Agriculture,Education,Law,,,Did not serve,,
Reeves,Albert,Lee,Jr.,,05/31/1906,04/15/1987,M,U.S. Representative,Republican,MO,5,01/03/1947,01/03/1949,Not specified,White,Professional degree,Education,Law,,,,Army,,
Regan,Kenneth,Mills,,,03/06/1893,08/15/1959,M,U.S. Representative,Democrat,TX,16,08/23/1947,01/03/1955,Not specified,White,High School graduate,Business or banking,Real Estate,,,,Army,Army Air Corps,Army Air Corps
Revercomb,William,Chapman,,,07/20/1895,10/06/1979,M,U.S. Senator,Republican,WV,,01/06/1943,01/03/1949,Presbyterian,White,Professional degree,Law,,,,,Army,,
Rich,Robert,Fleming,,,06/23/1883,04/28/1968,M,U.S. Representative,Republican,PA,15,01/03/1945,01/03/1952,Not specified,White,Unknown,Business or banking,,,,,Did not serve,,
Richards,James,Prioleau,,,08/31/1894,02/21/1979,M,U.S. Representative,Democrat,SC,5,01/03/1945,01/03/1957,Not specified,White,Professional degree,Law,,,,,Army,,
Riehlman,Roy,Walter,,,08/26/1889,07/16/1978,M,U.S. Representative,Republican,NY,36,01/03/1947,01/02/1953,Baptist,White,Bachelor's degree,Business or banking,Public service/politics,,,,Did not serve,,
Riley,John,Jacob,,,02/01/1895,01/01/1962,M,U.S. Representative,Democrat,SC,2,01/03/1945,01/01/1962,Methodist,White,Master's degree,Education,Real Estate,,,,Navy,,
Rivers,Lucius,Mendel,,,09/28/1905,12/28/1970,M,U.S. Representative,Democrat,SC,1,01/03/1945,01/28/1970,Episcopalian,White,Unknown,Law,,,,,Did not serve,,
Rizley,Ross,,,,07/15/1892,03/04/1969,M,U.S. Representative,Republican,OK,8,01/03/1945,01/03/1949,Methodist,White,Professional degree,Education,Law,Public service/politics,,,Did not serve,,
Robertson,Absalom,Willis,,,05/27/1887,11/01/1971,M,U.S. Senator,Democrat,VA,,11/05/1946,12/30/1966,Baptist,White,Professional degree,Law,,,,,Army,,
Robertson,Charles,Raymond,,,09/05/1889,02/18/1951,M,U.S. Representative,Republican,ND,AL,01/03/1945,01/03/1949,Presbyterian,White,Bachelor's degree,Agriculture,Business or banking,,,,Did not serve,,
Robertson,Edward,Vivian,,,05/27/1881,04/15/1963,M,U.S. Senator,Republican,WY,,01/06/1943,01/03/1949,Not specified,White,High School graduate,Business or banking,Engineering,,,,Welsh Army,,
Robsion,John,Marshall,,,01/02/1873,02/17/1948,M,U.S. Representative,Republican,KY,9,01/03/1945,08/17/1948,Not specified,White,Professional degree,Education,Law,,,,Did not serve,,
Rockwell,Robert,Fay,,,02/11/1886,09/29/1950,M,U.S. Representative,Republican,CO,4,01/03/1945,01/03/1949,Episcopalian,White,High School graduate,Agriculture,Business or banking,,,,Did not serve,,
Rogers,Dwight,Laing,,,08/17/1886,12/01/1954,M,U.S. Representative,Democrat,FL,6,01/03/1945,12/01/1954,Methodist,White,Professional degree,Law,,,,,Did not serve,,
Rogers,Edith,Nourse,,,03/19/1881,09/10/1960,M,U.S. Representative,Republican,MA,5,01/03/1945,01/03/1961,Episcopalian,White,Unknown,Public service/politics,,,,,Did not serve,,
Rohrbough,Edward,Gay,,,01/01/1874,12/12/1956,M,U.S. Representative,Republican,WV,3,01/03/1947,01/03/1949,Methodist,White,Master's degree,Business or banking,Education,,,,Did not serve,,
Rooney,John,James,,,11/29/1903,10/26/1975,M,U.S. Representative,Democrat,NY,12,06/06/1944,01/02/1953,Roman Catholic,White,Professional degree,Law,,,,,Did not serve,,
Ross,Robert,Tripp,,,06/04/1903,10/01/1981,M,U.S. Representative,Republican,NY,5,01/03/1947,01/02/1949,Not specified,White,High School graduate,Business or banking,Medicine,Public service/politics,,,Did not serve,,
Russell,Charles,Hinton,,,12/27/1903,09/13/1989,M,U.S. Representative,Republican,NV,AL,01/03/1947,01/03/1949,Episcopalian,White,Bachelor's degree,Journalism,,,,,Did not serve,,
Russell,Richard,Brevard,Jr.,,11/02/1897,01/21/1971,M,U.S. Senator,Democrat,GA,,01/06/1943,01/03/1973,Methodist,White,Professional degree,Law,Public service/politics,,,,Navy Reserve,,
Sabath,Adolph,Joachim,,,04/04/1866,11/06/1952,M,U.S. Representative,Democrat,IL,5,01/03/1945,01/02/1949,Not specified,White,Professional degree,Law,Public service/politics,,,,Did not serve,,
Sadlak,Antoni,Nicholas,,,06/03/1908,10/18/1969,M,U.S. Representative,Republican,CT,AL,01/03/1947,01/03/1959,Not specified,White,Professional degree,Congressional Aide,Education,Law,Public service/politics,,Navy Reserve,,
Sadowski,George,Gregory,,,03/12/1903,,M,U.S. Representative,Democrat,MI,1,01/03/1945,01/03/1952,Not specified,White,Professional degree,Law,Real Estate,,,,Did not serve,,
Saltonstall,Leverett,,,,09/01/1892,06/17/1979,M,U.S. Senator,Republican,MA,,01/03/1945,01/03/1967,Unitarian,White,Professional degree,Law,,,,,Army,,
Sanborn,John,Carfield,,,09/28/1885,05/16/1968,M,U.S. Representative,Republican,ID,2,01/03/1947,01/03/1952,Not specified,White,Professional degree,Agriculture,,,,,Did not serve,,
Sarbacher,George,William,Jr.,,09/30/1919,03/04/1973,M,U.S. Representative,Republican,PA,5,01/03/1947,01/03/1949,Not specified,White,Bachelor's degree,Business or banking,Military,,,,Marine Corps,,
Sasscer,Lansdale,Ghiselin,,,09/30/1893,11/05/1964,M,U.S. Representative,Democrat,MD,5,01/03/1945,01/03/1953,Not specified,White,Professional degree,Law,,,,,Army,,
Schwabe,George,Blaine,,,07/26/1886,04/02/1952,M,U.S. Representative,Republican,OK,1,01/03/1945,01/03/1953,Christian,White,Professional degree,Law,,,,,Did not serve,,
Schwabe,Max,,,,12/06/1905,07/31/1983,M,U.S. Representative,Republican,MO,2,01/03/1945,01/03/1949,Christian,White,Unknown,Business or banking,,,,,Did not serve,,
Scoblick,James,Paul,,,05/10/1909,12/04/1981,M,U.S. Representative,Republican,PA,10,01/03/1947,01/03/1949,Not specified,White,Bachelor's degree,Business or banking,,,,,Did not serve,,
Scott,Hardie,,,,06/07/1907,11/02/1999,M,U.S. Representative,Republican,PA,3,01/03/1947,01/03/1953,Not specified,White,Professional degree,Law,,,,,Did not serve,,
Scott,Hugh,Doggett,Jr.,,11/11/1900,07/21/1994,M,U.S. Representative,Republican,PA,6,01/03/1947,01/03/1959,Episcopalian,White,Professional degree,Acting/entertainer,Law,Public service/politics,,,Navy,,
Scrivner,Errett,Power,,,03/20/1898,05/05/1978,M,U.S. Representative,Republican,KS,2,01/03/1945,01/03/1959,Christian,White,Professional degree,Law,,,,,Army,,
Seely-Brown,Horace,,,,05/12/1908,04/09/1982,M,U.S. Representative,Republican,CT,2,01/03/1947,01/03/1963,Episcopalian,White,Bachelor's degree,Agriculture,Education,,,,Navy,,
Shafer,Paul,Werntz,,,04/27/1893,08/17/1954,M,U.S. Representative,Republican,MI,3,01/03/1945,08/17/1954,Not specified,White,High School graduate,Business or banking,Journalism,Law,Misc.,,Did not serve,,
Sheppard,Harry,Richard,,,01/10/1885,04/28/1969,M,U.S. Representative,Democrat,CA,21,01/03/1945,01/02/1953,Methodist,White,High School graduate,Business or banking,Labor leader,Misc.,,,Did not serve,,
Short,Dewey,Jackson,,,04/07/1898,11/19/1979,M,U.S. Representative,Republican,MO,7,01/03/1945,01/03/1957,Episcopalian,White,Bachelor's degree,Clergy,Education,,,,Army,,
Sikes,Robert,Lee Fulton,,,06/03/1906,09/28/1994,M,U.S. Representative,Democrat,FL,3,01/03/1947,01/08/1963,Methodist,White,Master's degree,Business or banking,,,,,Army,,
Simpson,Richard,Murray,,,08/30/1900,01/07/1960,M,U.S. Representative,Republican,PA,17,01/03/1945,01/02/1953,Not specified,White,Professional degree,Business or banking,,,,,Army,,
Simpson,Sidney,Elmer,,,09/20/1894,10/26/1958,M,U.S. Representative,Republican,IL,20,01/03/1945,10/26/1958,Not specified,White,High School graduate,Business or banking,,,,,Army,,
Smathers,George,Armistead,,,11/14/1913,,M,U.S. Representative,Democrat,FL,4,01/03/1947,01/03/1951,Methodist,White,Professional degree,Law,,,,,Marine Corps,,
Smith,Frederick,Cleveland,,,07/29/1884,07/16/1956,M,U.S. Representative,Republican,OH,8,01/03/1945,01/03/1952,Not specified,White,Unknown,Medicine,,,,,Did not serve,,
Smith,Howard,Alexander,,,01/30/1880,10/27/1966,M,U.S. Senator,Republican,NJ,,01/03/1945,01/03/1959,Not specified,White,Professional degree,Education,Law,,,,Did not serve,,
Smith,Howard,Worth,,,02/02/1883,10/03/1976,M,U.S. Representative,Democrat,VA,8,01/03/1945,01/03/1967,Episcopalian,White,Professional degree,Agriculture,Business or banking,Law,,,Did not serve,,
Smith,Lawrence,Henry,,,09/15/1892,01/22/1958,M,U.S. Representative,Republican,WI,1,01/03/1945,01/03/1959,Not specified,White,Professional degree,Law,,,,,Army,,
Smith,Margaret,Chase,,,12/14/1897,05/29/1995,F,U.S. Representative,Republican,ME,2,06/03/1940,01/03/1949,Methodist,White,High School graduate,Business or banking,Congressional Aide,Education,,,Air Force Reserve,,
Smith,Wint,,,,10/07/1892,04/27/1976,M,U.S. Representative,Republican,KS,6,01/03/1947,01/03/1961,Methodist,White,Professional degree,Law,,,,,Army,,
Snyder,Melvin,Claude,,,10/29/1898,08/05/1972,M,U.S. Representative,Republican,WV,2,01/03/1947,01/03/1949,Baptist,White,Professional degree,Law,,,,,Army,,
Somers,Andrew,Lawrence,,,03/21/1895,04/06/1949,M,U.S. Representative,Democrat,NY,10,03/04/1925,04/06/1949,Not specified,White,High School graduate,Business or banking,,,,,Navy Reserve,,
Sparkman,John,Jackson,,,12/20/1899,11/16/1985,M,U.S. Senator,Democrat,AL,,11/06/1946,01/03/1979,Methodist,White,Professional degree,Education,Law,,,,Student Army Training Corps,,
Spence,Brent,,,,12/24/1874,09/18/1967,M,U.S. Representative,Democrat,KY,5,01/03/1945,01/03/1963,Episcopalian,White,Professional degree,Law,,,,,Did not serve,,
Springer,Raymond,Smiley,,,04/26/1882,08/28/1947,M,U.S. Representative,Republican,IN,10,01/03/1939,08/28/1947,Not specified,White,Professional degree,Law,,,,,,,
St. George,Katharine,Prince Collier,,,07/12/1896,05/02/1983,F,U.S. Representative,Republican,NY,29,01/03/1947,01/02/1953,Episcopalian,White,High School graduate,Public service/politics,,,,,Did not serve,,
Stanley,Thomas,Bahnson,,,07/16/1890,07/10/1970,M,U.S. Representative,Democrat,VA,5,01/03/1947,02/03/1953,Methodist,White,High School graduate,Agriculture,Business or banking,,,,Did not serve,,
Stefan,Karl,,,,03/01/1884,10/02/1951,M,U.S. Representative,Republican,NE,3,01/03/1945,01/03/1953,Not specified,White,High School graduate,Journalism,Misc.,,,,National Guard-Illinois,National Guard-Nebraska,National Guard-Nebraska
Stennis,John,Cornelius,,,08/03/1901,04/23/1995,M,U.S. Senator,Democrat,MS,,11/05/1947,01/03/1989,Presbyterian,White,Professional degree,Law,,,,,Did not serve,,
Stevenson,William,Henry,,,09/23/1891,03/19/1978,M,U.S. Representative,Republican,WI,3,01/03/1945,01/03/1949,Not specified,White,Professional degree,Education,Law,,,,Did not serve,,
Stewart,Arthur,Thomas,,,01/11/1892,10/10/1972,M,U.S. Senator,Democrat,TN,,01/06/1943,01/03/1949,Methodist,White,Professional degree,Law,Public service/politics,,,,Did not serve,,
Stigler,William,Grady,,,07/07/1891,08/21/1952,M,U.S. Representative,Democrat,OK,2,01/03/1945,01/03/1953,Methodist,White,Unknown,Law,,,,,Army,National Guard-Oklahoma,
Stockman,Lowell,,,,04/12/1901,08/09/1962,M,U.S. Representative,Republican,OR,2,01/03/1945,01/03/1953,Not specified,White,Bachelor's degree,Agriculture,Business or banking,Misc.,,,Did not serve,,
Stratton,William,Grant,,,02/26/1914,03/02/2001,M,U.S. Representative,Republican,IL,AL,01/03/1947,01/03/1949,Not specified,White,Bachelor's degree,Public service/politics,,,,,Navy,,
Sundstrom,Frank,Leander,,,06/05/1901,05/23/1980,M,U.S. Representative,Republican,NJ,11,01/03/1945,01/03/1949,Not specified,White,Bachelor's degree,Business or banking,Journalism,Sports,,,Did not serve,,
Taber,John,,,,05/05/1880,11/22/1965,M,U.S. Representative,Republican,NY,38,01/03/1945,01/02/1953,Episcopalian,White,Bachelor's degree,Law,,,,,Did not serve,,
Taft,Robert,Alphonso,,,09/08/1889,07/31/1953,M,U.S. Senator,Republican,OH,,01/03/1945,07/31/1953,Not specified,White,Professional degree,Law,,,,,Did not serve,,
Talle,Henry,Oscar,,,01/12/1892,03/14/1969,M,U.S. Representative,Republican,IA,2,01/03/1945,01/03/1959,Not specified,White,Unknown,Education,,,,,Navy,,
Taylor,Dean,Park,,,01/01/1902,10/16/1977,M,U.S. Representative,Republican,NY,33,01/03/1943,01/02/1952,Methodist,White,Professional degree,Business or banking,Education,Law,,,Did not serve,,
Taylor,Glen,Hearst,,,04/12/1904,04/28/1984,M,U.S. Senator,Democrat,ID,,01/03/1945,01/03/1951,Not specified,White,High School graduate,Business or banking,,,,,Did not serve,,
Teague,Olin,Earl,,,04/06/1910,01/23/1981,M,U.S. Representative,Democrat,TX,6,01/03/1947,12/31/1978,Baptist,White,Bachelor's degree,Public service/politics,,,,,Army,,
Thomas,Albert,,,,04/12/1898,02/15/1966,M,U.S. Representative,Democrat,TX,8,01/03/1945,02/15/1966,Methodist,White,Professional degree,Law,,,,,Army,,
Thomas,Elbert,Duncan,,,06/17/1883,02/11/1953,M,U.S. Senator,Democrat,UT,,01/03/1933,01/03/1951,Not specified,White,Professional degree,Acting/entertainer,Clergy,Education,,,National Guard-Utah,,
Thomas,John,Parnell,,,01/16/1895,11/19/1970,M,U.S. Representative,Republican,NJ,7,01/03/1937,01/02/1950,Not specified,White,High School graduate,Business or banking,Journalism,,,,Army,,
Thomas,John,William Elmer,,,09/08/1876,09/18/1965,M,U.S. Senator,Democrat,OK,,03/04/1927,01/03/1951,Not specified,White,Bachelor's degree,Law,,,,,Did not serve,,
Thomason,R.,Ewing,,,05/30/1879,11/08/1973,M,U.S. Representative,Democrat,TX,16,01/03/1945,07/31/1947,Not specified,White,Professional degree,Law,,,,,,,
Thompson,Clark,Wallace,,,08/06/1896,12/16/1981,M,U.S. Representative,Democrat,TX,9,08/23/1947,12/30/1966,Episcopalian,White,High School graduate,Business or banking,Misc.,Public service/politics,,,Marine Corps,,
Thye,Edward,John,,,04/26/1896,08/28/1969,M,U.S. Senator,Republican,MN,,01/03/1947,01/03/1959,Not specified,White,Professional degree,Agriculture,,,,,Army Air Corps,,
Tibbott,Harve,,,,05/27/1885,12/31/1969,M,U.S. Representative,Republican,PA,26,01/03/1945,01/03/1949,Not specified,White,Professional degree,Business or banking,Medicine,,,,Did not serve,,
Tobey,Charles,William,,,07/22/1880,07/24/1953,M,U.S. Senator,Republican,NH,,01/03/1945,07/24/1953,Not specified,White,High School graduate,Agriculture,Business or banking,,,,Did not serve,,
Tollefson,Thor,Carl,,,05/02/1901,12/30/1982,M,U.S. Representative,Republican,WA,6,01/03/1947,01/03/1965,Lutheran,White,Professional degree,Law,,,,,Did not serve,,
Towe,Harry,Lancaster,,,11/03/1898,02/04/1991,M,U.S. Representative,Republican,NJ,9,01/03/1945,09/07/1951,Not specified,White,Professional degree,Law,,,,,Did not serve,,
Trimble,James,William,,,02/03/1894,03/10/1972,M,U.S. Representative,Democrat,AR,3,01/03/1945,01/03/1967,Methodist,White,Bachelor's degree,Law,,,,,Army,,
Twyman,Robert,Joseph,,,06/18/1897,06/28/1976,M,U.S. Representative,Republican,IL,9,01/03/1947,01/03/1949,Not specified,White,High School graduate,Business or banking,Public service/politics,,,,Navy,,
Tydings,Millard,Evelyn,,,04/06/1890,02/09/1961,M,U.S. Senator,Democrat,MD,,03/04/1927,01/03/1951,Not specified,White,Professional degree,Law,,,,,Army,,
Umstead,William,Bradley,,,05/13/1895,11/07/1954,M,U.S. Senator,Democrat,NC,,01/03/1947,12/30/1948,Methodist,White,Bachelor's degree,Education,Law,,,,Army,Did not serve,Did not serve
Vail,Richard,Bernard,,,08/31/1895,07/29/1955,M,U.S. Representative,Democrat,IL,2,01/03/1947,01/03/1953,Not specified,White,Unknown,Misc.,,,,,Army,,
Van Zandt,James,Edward,,,12/18/1898,01/06/1986,M,U.S. Representative,Republican,PA,22,01/03/1947,01/02/1953,Lutheran,White,High School graduate,Military,Misc.,,,,Active duty,Navy,Reserve
Vandenberg,Arthur,Hendrick,,,03/22/1884,04/18/1951,M,U.S. Senator,Republican,MI,,01/03/1945,01/03/1953,Not specified,White,Bachelor's degree,Acting/entertainer,Journalism,,,,Did not serve,,
Vinson,Carl,,,,11/18/1883,06/01/1981,M,U.S. Representative,Democrat,GA,6,01/03/1945,01/03/1965,Methodist,White,Professional degree,Law,,,,,Did not serve,,
Vorys,John,Martin,,,06/16/1896,08/25/1968,M,U.S. Representative,Republican,OH,12,01/03/1945,01/03/1959,Not specified,White,Professional degree,Education,,,,,Navy Air Service,,
Vursell,Charles,Wesley,,,02/08/1881,09/21/1974,M,U.S. Representative,Republican,IL,23,01/03/1943,01/02/1949,Not specified,White,High School graduate,Business or banking,Law Enforcement,,,,Did not serve,,
Wadsworth,James,Wolcott,Jr.,,08/12/1877,06/21/1952,M,U.S. Representative,Republican,NY,41,01/03/1945,01/03/1952,Not specified,White,Bachelor's degree,Agriculture,,,,,Field Artillery-Pennsylvania,,
Wagner,Robert,Ferdinand,,,06/08/1887,05/04/1953,M,U.S. Senator,Democrat,NY,,03/04/1927,06/28/1949,Not specified,White,Professional degree,Law,,,,,Did not serve,,
Walter,Francis,Eugene,,,05/26/1894,05/31/1963,M,U.S. Representative,Democrat,PA,20,03/04/1933,01/02/1953,Lutheran,White,Professional degree,Business or banking,Law,,,,Navy Air Corps,,
Watkins,Arthur,Vivian,,,12/18/1886,09/01/1973,M,U.S. Senator,Republican,UT,,01/03/1947,01/03/1959,Mormon,White,Professional degree,Agriculture,Journalism,Law,,,Did not serve,,
Weichel,Alvin,F.,,,09/11/1891,11/27/1956,M,U.S. Representative,Republican,OH,13,01/03/1945,01/03/1955,Not specified,White,Professional degree,Law,,,,,Army,,
Welch,Richard,Joseph,,,02/13/1869,09/10/1949,M,U.S. Representative,Republican,CA,5,08/31/1926,09/10/1949,Not specified,White,High School graduate,Public service/politics,,,,,Did not serve,,
West,Milton,Horace,,,06/30/1888,10/28/1948,M,U.S. Representative,Democrat,TX,15,01/03/1945,10/28/1948,Not specified,White,High School graduate,Law,Law Enforcement,,,,Did not serve,,
Wheeler,William,McDonald,,,07/11/1915,05/05/1989,M,U.S. Representative,Democrat,GA,8,01/03/1947,01/03/1955,Baptist,White,Professional degree,Agriculture,Business or banking,Education,Public service/politics,,Air Force,,
Wherry,Kenneth,Spicer,,,02/28/1892,11/29/1951,M,U.S. Senator,Republican,NE,,01/06/1943,11/29/1951,Presbyterian,White,Bachelor's degree,Agriculture,Business or banking,Law,Misc.,,Navy Flying Corps,,
Whitaker,John,Albert,,,10/31/1901,12/15/1951,M,U.S. Representative,Democrat,KY,2,04/26/1948,12/15/1951,Methodist,White,Unknown,Law,,,,,Did not serve,,
White,Compton,Ignatius,,,07/31/1877,03/31/1956,M,U.S. Representative,Democrat,ID,1,01/03/1945,01/03/1952,Not specified,White,Unknown,Agriculture,Business or banking,Misc.,,,Did not serve,,
White,Wallace,Humphrey,Jr.,,08/06/1877,03/31/1952,M,U.S. Senator,Republican,ME,,12/07/1931,01/03/1949,Not specified,White,High School graduate,Congressional Aide,Law,Public service/politics,,,Did not serve,,
Whitten,Jamie,Lloyd,,,04/18/1910,09/09/1995,M,U.S. Representative,Democrat,MS,2,11/04/1941,01/02/1973,Presbyterian,White,High School graduate,Acting/entertainer,Education,Law,,,Did not serve,,
Whittington,William,Madison,,,05/04/1878,08/20/1962,M,U.S. Representative,Democrat,MS,3,01/03/1945,01/03/1952,Not specified,White,Professional degree,Agriculture,Law,,,,Did not serve,,
Wigglesworth,Richard,Bowditch,,,04/25/1891,10/22/1960,M,U.S. Representative,Republican,MA,13,01/03/1945,11/13/1958,Not specified,White,Professional degree,Law,Public service/politics,,,,Army,,
Wiley,Alexander,,,,05/26/1884,05/26/1967,M,U.S. Senator,Republican,WI,,01/03/1945,01/03/1963,Lutheran,White,Professional degree,Agriculture,Business or banking,Law,,,Did not serve,,
Williams,John,Bell,,,12/04/1918,03/25/1983,M,U.S. Representative,Democrat,MS,7,01/03/1947,01/02/1953,Baptist,White,Professional degree,Law,,,,,Army,,
Williams,John,James,,,05/17/1904,01/11/1988,M,U.S. Senator,Republican,DE,,01/03/1947,12/31/1970,Methodist,White,High School graduate,Agriculture,,,,,Did not serve,,
Wilson,Earl,,,,04/18/1906,04/27/1990,M,U.S. Representative,Republican,IN,9,01/03/1945,01/03/1965,Baptist,White,Master's degree,Education,,,,,Did not serve,,
Wilson,George,Allison,,,04/01/1884,09/08/1953,M,U.S. Senator,Republican,IA,,01/06/1943,01/03/1949,Not specified,White,Professional degree,Law,,,,,Did not serve,,
Wilson,Joseph,Franklin,,,03/18/1901,10/13/1968,M,U.S. Representative,Democrat,TX,5,01/03/1947,01/03/1955,Not specified,White,Professional degree,Law,,,,,Military Institute-Tennessee,Peacock Military College,
Winstead,William,Arthur,,,01/06/1904,03/04/1995,M,U.S. Representative,Democrat,MS,5,01/03/1943,01/08/1963,Baptist,White,Bachelor's degree,Agriculture,Business or banking,Education,,,Did not serve,,
Wolcott,Jesse,Paine,,,03/03/1893,01/28/1969,M,U.S. Representative,Republican,MI,7,01/03/1945,01/03/1957,Not specified,White,Professional degree,Law,,,,,Army,,
Wolverton,Charles,Anderson,,,10/24/1880,05/16/1969,M,U.S. Representative,Republican,NJ,1,01/03/1945,01/03/1959,Not specified,White,Professional degree,Law,,,,,Did not serve,,
Wood,John,Stephens,,,02/08/1885,09/12/1968,M,U.S. Representative,Democrat,GA,9,01/03/1945,01/03/1953,Not specified,White,Professional degree,Law,,,,,Army Air Corps,,
Woodhouse,Chase,Going,,,03/03/1890,12/12/1984,F,U.S. Representative,Democrat,CT,2,01/03/1945,01/03/1952,Not specified,White,Unknown,Acting/entertainer,Education,Public service/politics,,,Did not serve,,
Woodruff,Roy,Orchard,,,03/14/1876,02/12/1953,M,U.S. Representative,Republican,MI,10,01/03/1945,01/03/1953,Not specified,White,Professional degree,Medicine,Misc.,,,,Army,Volunteer Infantry-Michigan,Volunteer Infantry-Michigan
Worley,Francis,Eugene,,,10/10/1908,12/17/1974,M,U.S. Representative,Democrat,TX,18,01/03/1941,04/03/1950,Not specified,White,Unknown,Law,,,,,Navy,,
Young,Milton,Ruben,,,12/06/1897,05/31/1983,M,U.S. Senator,Republican,ND,,03/19/1945,01/03/1981,Mormon,White,Unknown,Agriculture,,,,,Did not serve,,
Youngblood,Harold,Francis,,,08/07/1907,05/10/1983,M,U.S. Representative,Republican,MI,14,01/03/1947,01/03/1949,Not specified,White,Bachelor's degree,Construction/building trades,,,,,Air Corps,,
Zimmerman,Orville,,,,12/31/1880,04/07/1948,M,U.S. Representative,Democrat,MO,10,01/03/1945,04/07/1948,Methodist,White,Professional degree,Education,Law,,,,Army,,
